time,speed,hasAeroForce,hasRollingForce,hasGravityForce,hasAcceleration,hasAccelerationForce,hasTotalForce,hasPower,P_EB,P_PB,P_conv,I_EB,I_PB,I_load,I_prime,SOC_EB,SOC_PB,SOC_HESS
1,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
7,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
8,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
9,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
10,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
11,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
12,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
13,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
14,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
15,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
16,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
17,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
18,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
19,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
20,0.0,0.0,109.87,0.0,0.19,266.0,375.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
21,0.1944444444444444,0.02,109.87,0.0,0.39,546.0,655.89,138.62,138.62,0.0,14.6013,0.308,0.0,0.3443,0.0363,1.0,1.0,1.0
22,0.5833333333333334,0.17,109.88,0.0,1.97,2758.0,2868.05,1818.51,1818.51,-0.0,191.5497,4.0411,-0.0,4.5169,0.4758,0.999997,1.0,0.999998
23,2.555555555555555,3.3,110.02,0.0,1.78,2492.0,2605.32,7237.0,7237.0,-0.0,762.2973,16.0822,-0.0,17.9757,1.8934,0.99996,1.0,0.999967
24,4.333333333333333,9.49,110.28,0.0,1.17,1638.0,1757.77,8279.35,8279.35,-0.0,872.0915,18.3986,-0.0,20.5647,2.1661,0.999814,1.0,0.999847
25,5.5,15.29,110.54,0.0,0.0,0.0,125.83,752.24,752.24,-0.0,79.2359,1.6716,-0.0,1.8685,0.1968,0.999646,1.0,0.999709
26,5.5,15.29,110.54,0.0,0.81,1134.0,1259.83,7531.59,7531.59,-0.0,793.3275,16.7369,-0.0,18.7074,1.9705,0.999631,1.0,0.999697
27,6.305555555555555,20.09,110.75,0.0,0.78,1092.0,1222.84,8381.18,8381.18,0.0,882.8176,18.6248,0.0,20.8176,2.1928,0.999478,1.0,0.999571
28,7.083333333333333,25.35,110.97,0.0,1.19,1666.0,1802.32,13876.55,12600.0,1276.55,1327.2,28.0,3.1708,34.4673,3.2966,0.999308,1.0,0.999432
29,8.277777777777779,34.62,111.38,0.0,1.17,1638.0,1784.0,16051.7,12600.0,3451.7,1327.2,28.0,8.5735,39.8701,3.2966,0.999053,0.999881,0.999201
30,9.444444444444445,45.07,111.83,0.0,0.81,1134.0,1290.9,13251.99,12600.0,651.99,1327.2,28.0,1.6194,32.916,3.2966,0.998798,0.99956,0.998934
31,10.25,53.09,112.18,0.0,0.39,546.0,711.27,7924.48,7924.48,0.0,834.7119,17.61,0.0,19.6833,2.0733,0.998542,0.9995,0.998714
32,10.63888888888889,57.19,112.36,0.0,0.58,812.0,981.55,11350.65,11350.65,0.0,1195.6018,25.2237,0.0,28.1934,2.9697,0.998382,0.9995,0.998582
33,11.22222222222222,63.64,112.64,0.0,0.78,1092.0,1268.28,15470.57,12600.0,2870.57,1327.2,28.0,7.1301,38.4267,3.2966,0.998152,0.9995,0.998393
34,12.0,72.77,113.04,0.0,0.81,1134.0,1319.81,17214.91,12600.0,4614.91,1327.2,28.0,11.4628,42.7593,3.2966,0.997897,0.999233,0.998136
35,12.80555555555556,82.86,113.48,0.0,0.0,0.0,196.34,2732.87,2732.87,-0.0,287.8623,6.073,-0.0,6.7881,0.715,0.997641,0.998804,0.997849
36,12.80555555555556,82.86,113.48,0.0,0.0,0.0,196.34,2732.87,2732.87,-0.0,287.8623,6.073,-0.0,6.7881,0.715,0.997586,0.998804,0.997804
37,12.80555555555556,82.86,113.48,0.0,-0.42,-588.0,-391.66,-4614.19,-4614.19,0.0,-486.028,-10.2538,0.0,-11.461,-1.2072,0.997531,0.998804,0.997758
38,12.38888888888889,77.56,113.24,0.0,0.42,588.0,778.8,10487.47,10487.47,0.0,1104.6802,23.3055,0.0,26.0494,2.7439,0.997624,0.998804,0.997835
39,12.80555555555556,82.86,113.48,0.0,0.58,812.0,1008.34,14035.16,12600.0,1435.16,1327.2,28.0,3.5647,34.8613,3.2966,0.997412,0.998804,0.997661
