coorige tout et redonne speed,time
0.0,0.0
0.0,1.0
0.0,2.0
0.0,3.0
0.0,4.0
0.0,5.0
0.0,6.0
0.0,7.0
0.0,8.0
0.0,9.0
0.0,10.0
0.0,11.0
0.05555555555555556,12.0
0.4722222222222222,13.0
1.5,14.0
2.75,15.0
3.638888888888889,16.0
4.694444444444444,17.0
6.027777777777778,18.0
7.222222222222222,19.0
7.638888888888888,20.0
7.805555555555555,21.0
7.861111111111111,22.0
8.0,23.0
8.083333333333334,24.0
8.555555555555555,25.0
8.86111111111111,26.0
9.472222222222223,27.0
10.166666666666666,28.0
10.86111111111111,29.0
11.472222222222221,30.0
11.805555555555555,31.0
12.027777777777777,32.0
12.194444444444443,33.0
12.333333333333332,34.0
12.36111111111111,35.0
12.277777777777779,36.0
11.861111111111112,37.0
11.083333333333332,38.0
10.277777777777777,39.0
9.61111111111111,40.0
8.972222222222221,41.0
8.055555555555555,42.0
6.972222222222222,43.0
6.166666666666666,44.0
5.805555555555555,45.0
5.666666666666666,46.0
5.416666666666667,47.0
5.111111111111111,48.0
4.944444444444445,49.0
4.944444444444445,50.0
4.833333333333333,51.0
4.361111111111111,52.0
3.638888888888889,53.0
3.3611111111111107,54.0
3.333333333333333,55.0
3.333333333333333,56.0
3.333333333333333,57.0
3.416666666666667,58.0
3.5,59.0
4.083333333333333,60.0
4.25,61.0
4.416666666666667,62.0
4.5,63.0
4.75,64.0
4.944444444444445,65.0
5.027777777777778,66.0
5.111111111111111,67.0
5.638888888888889,68.0
6.444444444444444,69.0
7.361111111111111,70.0
8.277777777777779,71.0
9.055555555555555,72.0
9.555555555555555,73.0
9.86111111111111,74.0
10.11111111111111,75.0
10.388888888888888,76.0
10.694444444444445,77.0
10.916666666666666,78.0
10.972222222222221,79.0
10.833333333333334,80.0
10.694444444444445,81.0
10.36111111111111,82.0
10.277777777777777,83.0
10.194444444444445,84.0
9.972222222222221,85.0
9.805555555555555,86.0
9.61111111111111,87.0
9.5,88.0
8.86111111111111,89.0
7.583333333333333,90.0
6.111111111111111,91.0
4.722222222222222,92.0
3.944444444444444,93.0
3.333333333333333,94.0
2.5277777777777777,95.0
1.611111111111111,96.0
1.0,97.0
0.6111111111111112,98.0
0.0,99.0
0.0,100.0
0.0,101.0
0.0,102.0
0.0,103.0
0.0,104.0
0.0,105.0
0.0,106.0
0.0,107.0
0.0,108.0
0.0,109.0
0.0,110.0
0.0,111.0
0.0,112.0
0.0,113.0
0.0,114.0
0.0,115.0
0.0,116.0
0.0,117.0
0.0,118.0
0.0,119.0
0.0,120.0
0.0,121.0
0.0,122.0
0.0,123.0
0.0,124.0
0.0,125.0
0.0,126.0
0.0,127.0
0.0,128.0
0.0,129.0
0.0,130.0
0.0,131.0
0.0,132.0
0.0,133.0
0.0,134.0
0.0,135.0
0.0,136.0
0.0,137.0
0.05555555555555556,138.0
0.5277777777777778,139.0
1.6944444444444442,140.0
3.2499999999999996,141.0
4.555555555555555,142.0
5.249999999999999,143.0
5.527777777777778,144.0
5.777777777777778,145.0
6.333333333333333,146.0
7.055555555555555,147.0
7.694444444444444,148.0
8.11111111111111,149.0
8.277777777777779,150.0
8.166666666666666,151.0
7.555555555555555,152.0
6.277777777777778,153.0
4.805555555555555,154.0
3.6944444444444446,155.0
3.333333333333333,156.0
3.5,157.0
3.9166666666666665,158.0
4.777777777777778,159.0
5.583333333333334,160.0
6.499999999999999,161.0
7.083333333333333,162.0
7.666666666666667,163.0
8.194444444444445,164.0
8.63888888888889,165.0
8.916666666666666,166.0
9.222222222222223,167.0
9.777777777777779,168.0
10.333333333333334,169.0
10.555555555555555,170.0
10.388888888888888,171.0
9.75,172.0
8.61111111111111,173.0
7.527777777777778,174.0
7.027777777777778,175.0
6.972222222222222,176.0
7.194444444444444,177.0
7.722222222222222,178.0
8.11111111111111,179.0
8.222222222222223,180.0
8.194444444444445,181.0
8.11111111111111,182.0
7.861111111111111,183.0
7.25,184.0
6.555555555555555,185.0
5.833333333333333,186.0
5.249999999999999,187.0
4.75,188.0
4.361111111111111,189.0
4.027777777777778,190.0
3.8055555555555554,191.0
3.5833333333333335,192.0
3.4722222222222223,193.0
3.3888888888888884,194.0
3.333333333333333,195.0
3.333333333333333,196.0
3.333333333333333,197.0
3.333333333333333,198.0
3.4722222222222223,199.0
3.611111111111111,200.0
3.888888888888889,201.0
4.166666666666667,202.0
4.583333333333333,203.0
5.277777777777778,204.0
5.888888888888888,205.0
6.611111111111111,206.0
7.472222222222221,207.0
8.222222222222223,208.0
8.88888888888889,209.0
9.777777777777779,210.0
10.416666666666666,211.0
10.88888888888889,212.0
11.25,213.0
11.555555555555555,214.0
11.972222222222223,215.0
12.5,216.0
13.083333333333334,217.0
13.61111111111111,218.0
14.055555555555555,219.0
14.388888888888888,220.0
14.63888888888889,221.0
14.75,222.0
14.86111111111111,223.0
14.944444444444443,224.0
15.055555555555555,225.0
15.222222222222221,226.0
15.36111111111111,227.0
15.499999999999998,228.0
15.61111111111111,229.0
15.694444444444445,230.0
15.694444444444445,231.0
15.61111111111111,232.0
15.25,233.0
14.694444444444443,234.0
14.166666666666666,235.0
13.833333333333332,236.0
13.666666666666668,237.0
13.444444444444443,238.0
13.027777777777777,239.0
12.305555555555554,240.0
11.527777777777777,241.0
10.972222222222221,242.0
10.277777777777777,243.0
9.61111111111111,244.0
8.972222222222221,245.0
8.055555555555555,246.0
6.972222222222222,247.0
6.166666666666666,248.0
5.805555555555555,249.0
5.666666666666666,250.0
5.416666666666667,251.0
5.111111111111111,252.0
4.944444444444445,253.0
4.944444444444445,254.0
4.833333333333333,255.0
4.361111111111111,256.0
4.027777777777778,257.0
4.277777777777778,258.0
4.972222222222221,259.0
5.722222222222222,260.0
6.444444444444444,261.0
7.138888888888888,262.0
7.972222222222221,263.0
9.027777777777777,264.0
10.027777777777779,265.0
10.833333333333334,266.0
11.333333333333332,267.0
11.916666666666666,268.0
12.333333333333332,269.0
12.75,270.0
12.777777777777777,271.0
12.666666666666666,272.0
12.583333333333332,273.0
12.13888888888889,274.0
11.333333333333332,275.0
10.555555555555555,276.0
9.555555555555555,277.0
8.583333333333332,278.0
7.083333333333333,279.0
5.944444444444444,280.0
5.611111111111111,281.0
6.361111111111111,282.0
7.388888888888889,283.0
8.38888888888889,284.0
9.472222222222223,285.0
10.388888888888888,286.0
11.305555555555555,287.0
12.222222222222221,288.0
13.138888888888888,289.0
13.666666666666668,290.0
13.833333333333332,291.0
13.666666666666668,292.0
13.36111111111111,293.0
13.138888888888888,294.0
12.999999999999998,295.0
12.972222222222223,296.0
12.999999999999998,297.0
13.083333333333334,298.0
13.138888888888888,299.0
13.138888888888888,300.0
13.083333333333334,301.0
12.944444444444445,302.0
12.722222222222221,303.0
12.444444444444443,304.0
12.027777777777777,305.0
11.61111111111111,306.0
11.333333333333332,307.0
11.194444444444443,308.0
11.13888888888889,309.0
11.027777777777779,310.0
10.88888888888889,311.0
10.694444444444445,312.0
10.388888888888888,313.0
10.0,314.0
9.555555555555555,315.0
9.166666666666666,316.0
8.805555555555555,317.0
8.333333333333334,318.0
7.777777777777778,319.0
7.25,320.0
7.111111111111112,321.0
6.916666666666666,322.0
6.916666666666666,323.0
6.75,324.0
6.638888888888888,325.0
6.638888888888888,326.0
6.555555555555555,327.0
6.472222222222222,328.0
5.694444444444445,329.0
4.861111111111111,330.0
4.694444444444444,331.0
4.638888888888888,332.0
4.416666666666667,333.0
4.333333333333333,334.0
4.166666666666667,335.0
4.027777777777778,336.0
3.9722222222222223,337.0
4.027777777777778,338.0
4.277777777777778,339.0
4.944444444444445,340.0
5.861111111111112,341.0
6.694444444444445,342.0
6.944444444444445,343.0
7.027777777777778,344.0
7.083333333333333,345.0
7.333333333333333,346.0
7.388888888888889,347.0
7.527777777777778,348.0
7.694444444444444,349.0
7.805555555555555,350.0
7.833333333333333,351.0
7.805555555555555,352.0
7.777777777777778,353.0
7.749999999999999,354.0
7.749999999999999,355.0
7.805555555555555,356.0
7.833333333333333,357.0
7.777777777777778,358.0
7.472222222222221,359.0
6.944444444444445,360.0
6.444444444444444,361.0
6.083333333333333,362.0
5.861111111111112,363.0
5.75,364.0
5.75,365.0
5.777777777777778,366.0
5.888888888888888,367.0
6.138888888888889,368.0
6.527777777777778,369.0
6.75,370.0
6.805555555555555,371.0
6.611111111111111,372.0
5.916666666666667,373.0
4.916666666666666,374.0
4.0,375.0
3.3055555555555554,376.0
2.833333333333333,377.0
2.4722222222222223,378.0
2.2222222222222223,379.0
2.0,380.0
1.6944444444444442,381.0
1.3611111111111112,382.0
1.027777777777778,383.0
0.6388888888888888,384.0
0.25,385.0
0.0,386.0
0.0,387.0
0.0,388.0
0.0,389.0
0.0,390.0
0.0,391.0
0.1388888888888889,392.0
0.5833333333333334,393.0
1.3333333333333333,394.0
2.305555555555556,395.0
3.416666666666667,396.0
4.611111111111112,397.0
5.805555555555555,398.0
6.722222222222221,399.0
7.111111111111112,400.0
7.111111111111112,401.0
6.916666666666666,402.0
6.472222222222222,403.0
6.0,404.0
5.611111111111111,405.0
5.194444444444444,406.0
4.722222222222222,407.0
4.25,408.0
3.944444444444444,409.0
3.861111111111111,410.0
3.888888888888889,411.0
3.944444444444444,412.0
4.027777777777778,413.0
4.138888888888889,414.0
4.416666666666667,415.0
4.833333333333333,416.0
5.194444444444444,417.0
5.305555555555556,418.0
5.222222222222222,419.0
4.888888888888889,420.0
4.611111111111112,421.0
4.5,422.0
4.555555555555555,423.0
4.777777777777778,424.0
5.305555555555556,425.0
6.277777777777778,426.0
7.611111111111111,427.0
8.777777777777779,428.0
9.277777777777777,429.0
9.305555555555555,430.0
9.11111111111111,431.0
8.86111111111111,432.0
8.694444444444445,433.0
8.63888888888889,434.0
8.5,435.0
8.11111111111111,436.0
7.416666666666666,437.0
6.388888888888888,438.0
5.055555555555555,439.0
3.5833333333333335,440.0
2.138888888888889,441.0
1.0555555555555556,442.0
0.3611111111111111,443.0
0.05555555555555556,444.0
0.0,445.0
0.0,446.0
0.0,447.0
0.0,448.0
0.0,449.0
0.0,450.0
0.0,451.0
0.0,452.0
0.0,453.0
0.0,454.0
0.0,455.0
0.0,456.0
0.0,457.0
0.0,458.0
0.0,459.0
0.0,460.0
0.0,461.0
0.0,462.0
0.0,463.0
0.0,464.0
0.0,465.0
0.0,466.0
0.0,467.0
0.0,468.0
0.0,469.0
0.0,470.0
0.0,471.0
0.0,472.0
0.0,473.0
0.0,474.0
0.0,475.0
0.0,476.0
0.0,477.0
0.0,478.0
0.0,479.0
0.0,480.0
0.0,481.0
0.0,482.0
0.0,483.0
0.0,484.0
0.0,485.0
0.0,486.0
0.0,487.0
0.0,488.0
0.0,489.0
0.0,490.0
0.0,491.0
0.0,492.0
0.0,493.0
0.0,494.0
0.0,495.0
0.0,496.0
0.0,497.0
0.0,498.0
0.0,499.0
0.0,500.0
0.0,501.0
0.0,502.0
0.0,503.0
0.0,504.0
0.0,505.0
0.0,506.0
0.0,507.0
0.0,508.0
0.0,509.0
0.0,510.0
0.0,511.0
0.1388888888888889,512.0
0.6944444444444444,513.0
1.8333333333333333,514.0
3.2777777777777777,515.0
4.666666666666667,516.0
5.694444444444445,517.0
6.083333333333333,518.0
6.083333333333333,519.0
5.916666666666667,520.0
5.638888888888889,521.0
5.333333333333333,522.0
4.944444444444445,523.0
4.305555555555555,524.0
3.3055555555555554,525.0
2.111111111111111,526.0
1.1111111111111112,527.0
0.5555555555555556,528.0
0.2777777777777778,529.0
0.0,530.0
0.0,531.0
0.0,532.0
0.05555555555555556,533.0
0.3333333333333333,534.0
0.888888888888889,535.0
1.4444444444444444,536.0
2.2777777777777777,537.0
3.611111111111111,538.0
5.222222222222222,539.0
6.416666666666667,540.0
6.805555555555555,541.0
6.805555555555555,542.0
6.75,543.0
6.555555555555555,544.0
6.194444444444445,545.0
5.583333333333334,546.0
5.138888888888888,547.0
4.777777777777778,548.0
4.527777777777778,549.0
4.277777777777778,550.0
4.083333333333333,551.0
3.9722222222222223,552.0
3.8055555555555554,553.0
3.6944444444444446,554.0
3.638888888888889,555.0
3.638888888888889,556.0
3.6944444444444446,557.0
3.8333333333333335,558.0
4.027777777777778,559.0
4.583333333333333,560.0
4.722222222222222,561.0
4.722222222222222,562.0
4.722222222222222,563.0
4.277777777777778,564.0
2.8055555555555554,565.0
1.3333333333333333,566.0
0.0,567.0
0.0,568.0
0.0,569.0
0.0,570.0
0.0,571.0
0.0,572.0
0.0,573.0
0.0,574.0
0.0,575.0
0.0,576.0
0.0,577.0
0.0,578.0
0.0,579.0
0.0,580.0
0.0,581.0
0.0,582.0
0.0,583.0
0.0,584.0
0.0,585.0
0.0,586.0
0.0,587.0
0.0,588.0
0.0,589.0
0.0,590.0
0.0,591.0
0.0,592.0
0.0,593.0
0.0,594.0
0.0,595.0
0.0,596.0
0.0,597.0
0.0,598.0
0.0,599.0
0.0,600.0
0.2777777777777778,601.0
0.5833333333333334,602.0
1.3333333333333333,603.0
2.5277777777777777,604.0
3.944444444444444,605.0
5.5,606.0
7.083333333333333,607.0
8.472222222222221,608.0
9.666666666666666,609.0
10.777777777777777,610.0
11.916666666666666,611.0
12.888888888888888,612.0
13.416666666666666,613.0
13.527777777777779,614.0
13.472222222222221,615.0
13.444444444444443,616.0
13.38888888888889,617.0
13.277777777777777,618.0
13.055555555555555,619.0
12.75,620.0
12.472222222222221,621.0
12.333333333333332,622.0
12.305555555555554,623.0
12.36111111111111,624.0
12.527777777777779,625.0
12.694444444444445,626.0
12.777777777777777,627.0
12.777777777777777,628.0
12.777777777777777,629.0
12.805555555555555,630.0
12.972222222222223,631.0
13.25,632.0
13.583333333333332,633.0
13.972222222222221,634.0
14.333333333333334,635.0
14.61111111111111,636.0
14.722222222222221,637.0
14.722222222222221,638.0
14.694444444444443,639.0
14.63888888888889,640.0
14.61111111111111,641.0
14.75,642.0
15.083333333333332,643.0
15.333333333333334,644.0
15.416666666666666,645.0
15.527777777777777,646.0
15.638888888888888,647.0
15.75,648.0
15.805555555555555,649.0
15.777777777777777,650.0
15.555555555555555,651.0
15.055555555555555,652.0
14.472222222222221,653.0
13.916666666666666,654.0
13.11111111111111,655.0
12.0,656.0
10.88888888888889,657.0
10.13888888888889,658.0
9.527777777777777,659.0
8.61111111111111,660.0
7.222222222222222,661.0
5.75,662.0
4.277777777777778,663.0
3.638888888888889,664.0
3.333333333333333,665.0
3.4722222222222223,666.0
3.888888888888889,667.0
5.277777777777778,668.0
6.444444444444444,669.0
7.777777777777778,670.0
8.88888888888889,671.0
9.444444444444445,672.0
10.0,673.0
10.555555555555555,674.0
11.11111111111111,675.0
11.194444444444443,676.0
11.25,677.0
10.833333333333334,678.0
9.916666666666668,679.0
8.833333333333334,680.0
7.527777777777778,681.0
6.333333333333333,682.0
5.861111111111112,683.0
5.249999999999999,684.0
5.249999999999999,685.0
5.916666666666667,686.0
6.638888888888888,687.0
7.194444444444444,688.0
7.888888888888888,689.0
8.416666666666666,690.0
8.583333333333332,691.0
8.63888888888889,692.0
8.833333333333334,693.0
9.083333333333334,694.0
9.222222222222223,695.0
9.0,696.0
7.861111111111111,697.0
7.166666666666667,698.0
6.416666666666667,699.0
